ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
586,2011,US,National,BRFSS,Obesity / Weight Status,28.6,127,160,Some college or technical school,EDUCOTEC,0
24793,2011,AL,Alabama,BRFSS,Obesity / Weight Status,33.8,1,925,Some college or technical school,EDUCOTEC,1
36621,2011,AK,Alaska,BRFSS,Obesity / Weight Status,25.8,954,Some college or technical school,EDUCOTEC,2
26707,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,25.9,1,898,Some college or technical school,EDUCOTEC,4
11485,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,31,1,070,Some college or technical school,EDUCOTEC,5
25612,2011,CA,California,BRFSS,Obesity / Weight Status,24,5,375,Some college or technical school,EDUCOTEC,6
8670,2011,CO,Colorado,BRFSS,Obesity / Weight Status,22.3,3,468,Some college or technical school,EDUCOTEC,8
7621,2011,CT,Connecticut,BRFSS,Obesity / Weight Status,26.4,1,493,Some college or technical school,EDUCOTEC,9
30217,2011,DE,Delaware,BRFSS,Obesity / Weight Status,30.9,1,260,Some college or technical school,EDUCOTEC,10
3136,2011,DC,District of Columbia,BRFSS,Obesity / Weight Status,31,673,Some college or technical school,EDUCOTEC,11
37853,2011,FL,Florida,BRFSS,Obesity / Weight Status,27.4,3,194,Some college or technical school,EDUCOTEC,12
35073,2011,GA,Georgia,BRFSS,Obesity / Weight Status,28.6,2,400,Some college or technical school,EDUCOTEC,13
15671,2011,HI,Hawaii,BRFSS,Obesity / Weight Status,22.8,1,977,Some college or technical school,EDUCOTEC,15
34477,2011,ID,Idaho,BRFSS,Obesity / Weight Status,27.6,1,838,Some college or technical school,EDUCOTEC,16
2963,2011,IL,Illinois,BRFSS,Obesity / Weight Status,28,1,503,Some college or technical school,EDUCOTEC,17
2880,2011,IN,Indiana,BRFSS,Obesity / Weight Status,31.8,1,998,Some college or technical school,EDUCOTEC,18
23741,2011,IA,Iowa,BRFSS,Obesity / Weight Status,29,1,983,Some college or technical school,EDUCOTEC,19
24001,2011,KS,Kansas,BRFSS,Obesity / Weight Status,31.3,5,783,Some college or technical school,EDUCOTEC,20
32294,2011,KY,Kentucky,BRFSS,Obesity / Weight Status,30.6,2,586,Some college or technical school,EDUCOTEC,21
36944,2011,LA,Louisiana,BRFSS,Obesity / Weight Status,35.8,2,519,Some college or technical school,EDUCOTEC,22
27850,2011,ME,Maine,BRFSS,Obesity / Weight Status,28.4,3,185,Some college or technical school,EDUCOTEC,23
2633,2011,MD,Maryland,BRFSS,Obesity / Weight Status,29.3,2,288,Some college or technical school,EDUCOTEC,24
25397,2011,MA,Massachusetts,BRFSS,Obesity / Weight Status,24.1,4,835,Some college or technical school,EDUCOTEC,25
11151,2011,MI,Michigan,BRFSS,Obesity / Weight Status,32.8,2,913,Some college or technical school,EDUCOTEC,26
33360,2011,MN,Minnesota,BRFSS,Obesity / Weight Status,27.2,4,307,Some college or technical school,EDUCOTEC,27
30323,2011,MS,Mississippi,BRFSS,Obesity / Weight Status,36.9,2,231,Some college or technical school,EDUCOTEC,28
38479,2011,MO,Missouri,BRFSS,Obesity / Weight Status,31.5,1,585,Some college or technical school,EDUCOTEC,29
11030,2011,MT,Montana,BRFSS,Obesity / Weight Status,25.3,2,888,Some college or technical school,EDUCOTEC,30
11007,2011,NE,Nebraska,BRFSS,Obesity / Weight Status,30,7,209,Some college or technical school,EDUCOTEC,31
5508,2011,NV,Nevada,BRFSS,Obesity / Weight Status,27.4,1,690,Some college or technical school,EDUCOTEC,32
31010,2011,NH,New Hampshire,BRFSS,Obesity / Weight Status,29.1,1,471,Some college or technical school,EDUCOTEC,33
