ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
28441,2011,NJ,New Jersey,BRFSS,Obesity / Weight Status,25.1,3,410,Some college or technical school,EDUCOTEC,34
17300,2011,NM,New Mexico,BRFSS,Obesity / Weight Status,27,2,364,Some college or technical school,EDUCOTEC,35
7695,2011,NY,New York,BRFSS,Obesity / Weight Status,27.1,1,730,Some college or technical school,EDUCOTEC,36
26603,2011,NC,North Carolina,BRFSS,Obesity / Weight Status,31.4,2,717,Some college or technical school,EDUCOTEC,37
2978,2011,ND,North Dakota,BRFSS,Obesity / Weight Status,29.2,1,546,Some college or technical school,EDUCOTEC,38
19127,2011,OH,Ohio,BRFSS,Obesity / Weight Status,30.5,2,422,Some college or technical school,EDUCOTEC,39
38492,2011,OK,Oklahoma,BRFSS,Obesity / Weight Status,31.3,2,282,Some college or technical school,EDUCOTEC,40
6178,2011,OR,Oregon,BRFSS,Obesity / Weight Status,31.4,1,788,Some college or technical school,EDUCOTEC,41
16470,2011,PA,Pennsylvania,BRFSS,Obesity / Weight Status,30,2,458,Some college or technical school,EDUCOTEC,42
30931,2011,RI,Rhode Island,BRFSS,Obesity / Weight Status,27.9,1,439,Some college or technical school,EDUCOTEC,44
22317,2011,SC,South Carolina,BRFSS,Obesity / Weight Status,32.9,3,131,Some college or technical school,EDUCOTEC,45
35039,2011,SD,South Dakota,BRFSS,Obesity / Weight Status,27.2,2,294,Some college or technical school,EDUCOTEC,46
38138,2011,TN,Tennessee,BRFSS,Obesity / Weight Status,28,1,553,Some college or technical school,EDUCOTEC,47
7361,2011,TX,Texas,BRFSS,Obesity / Weight Status,32.2,3,564,Some college or technical school,EDUCOTEC,48
3307,2011,UT,Utah,BRFSS,Obesity / Weight Status,25.4,3,862,Some college or technical school,EDUCOTEC,49
34170,2011,VT,Vermont,BRFSS,Obesity / Weight Status,25.1,1,511,Some college or technical school,EDUCOTEC,50
35539,2011,VA,Virginia,BRFSS,Obesity / Weight Status,29.2,1,494,Some college or technical school,EDUCOTEC,51
38547,2011,WA,Washington,BRFSS,Obesity / Weight Status,30.2,4,414,Some college or technical school,EDUCOTEC,53
34946,2011,WV,West Virginia,BRFSS,Obesity / Weight Status,32.8,1,211,Some college or technical school,EDUCOTEC,54
8658,2011,WI,Wisconsin,BRFSS,Obesity / Weight Status,26.9,1,389,Some college or technical school,EDUCOTEC,55
11041,2011,WY,Wyoming,BRFSS,Obesity / Weight Status,25.4,2,082,Some college or technical school,EDUCOTEC,56
