ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
43927,2016,US,National,BRFSS,Obesity / Weight Status,9.8,8,971,Asian,RACEASN,0
42212,2016,AL,Alabama,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,1
40661,2016,AK,Alaska,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,2
40092,2016,AZ,Arizona,BRFSS,Obesity / Weight Status,11.9,115,Asian,RACEASN,4
42106,2016,AR,Arkansas,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,5
41393,2016,CA,California,BRFSS,Obesity / Weight Status,9.6,848,Asian,RACEASN,6
39652,2016,CO,Colorado,BRFSS,Obesity / Weight Status,9.4,199,Asian,RACEASN,8
40465,2016,CT,Connecticut,BRFSS,Obesity / Weight Status,5.8,201,Asian,RACEASN,9
42214,2016,DE,Delaware,BRFSS,Obesity / Weight Status,9,58,Asian,RACEASN,10
41983,2016,DC,District of Columbia,BRFSS,Obesity / Weight Status,3.3,64,Asian,RACEASN,11
40706,2016,FL,Florida,BRFSS,Obesity / Weight Status,14.3,337,Asian,RACEASN,12
42878,2016,GA,Georgia,BRFSS,Obesity / Weight Status,3,79,Asian,RACEASN,13
43348,2016,HI,Hawaii,BRFSS,Obesity / Weight Status,16.5,2,385,Asian,RACEASN,15
43387,2016,ID,Idaho,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,16
40297,2016,IL,Illinois,BRFSS,Obesity / Weight Status,11.5,165,Asian,RACEASN,17
44002,2016,IN,Indiana,BRFSS,Obesity / Weight Status,8.5,99,Asian,RACEASN,18
41430,2016,IA,Iowa,BRFSS,Obesity / Weight Status,14.4,51,Asian,RACEASN,19
42079,2016,KS,Kansas,BRFSS,Obesity / Weight Status,15.2,97,Asian,RACEASN,20
41618,2016,KY,Kentucky,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,21
41501,2016,LA,Louisiana,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,22
39970,2016,ME,Maine,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,23
39602,2016,MD,Maryland,BRFSS,Obesity / Weight Status,8.4,358,Asian,RACEASN,24
44023,2016,MA,Massachusetts,BRFSS,Obesity / Weight Status,9.4,222,Asian,RACEASN,25
42648,2016,MI,Michigan,BRFSS,Obesity / Weight Status,7.7,178,Asian,RACEASN,26
39733,2016,MN,Minnesota,BRFSS,Obesity / Weight Status,11.5,300,Asian,RACEASN,27
42173,2016,MS,Mississippi,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,28
42054,2016,MO,Missouri,BRFSS,Obesity / Weight Status,3.4,53,Asian,RACEASN,29
42935,2016,MT,Montana,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,30
43868,2016,NE,Nebraska,BRFSS,Obesity / Weight Status,14.6,90,Asian,RACEASN,31
40207,2016,NV,Nevada,BRFSS,Obesity / Weight Status,14.1,121,Asian,RACEASN,32
43708,2016,NH,New Hampshire,BRFSS,Obesity / Weight Status,11.2,69,Asian,RACEASN,33
43613,2016,NJ,New Jersey,BRFSS,Obesity / Weight Status,8.3,262,Asian,RACEASN,34
42782,2016,NM,New Mexico,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,35
41542,2016,NY,New York,BRFSS,Obesity / Weight Status,9.9,608,Asian,RACEASN,36
42510,2016,NC,North Carolina,BRFSS,Obesity / Weight Status,8.1,86,Asian,RACEASN,37
43638,2016,ND,North Dakota,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,38
40502,2016,OH,Ohio,BRFSS,Obesity / Weight Status,12.7,109,Asian,RACEASN,39
40930,2016,OK,Oklahoma,BRFSS,Obesity / Weight Status,4.1,61,Asian,RACEASN,40
42479,2016,OR,Oregon,BRFSS,Obesity / Weight Status,6.9,83,Asian,RACEASN,41
40548,2016,PA,Pennsylvania,BRFSS,Obesity / Weight Status,5.1,147,Asian,RACEASN,42
41889,2016,RI,Rhode Island,BRFSS,Obesity / Weight Status,2.5,70,Asian,RACEASN,44
44278,2016,SC,South Carolina,BRFSS,Obesity / Weight Status,17.7,68,Asian,RACEASN,45
41452,2016,SD,South Dakota,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,46
40101,2016,TN,Tennessee,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,47
43157,2016,TX,Texas,BRFSS,Obesity / Weight Status,7.8,197,Asian,RACEASN,48
42716,2016,UT,Utah,BRFSS,Obesity / Weight Status,9.5,92,Asian,RACEASN,49
43963,2016,VT,Vermont,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,50
44097,2016,VA,Virginia,BRFSS,Obesity / Weight Status,12.6,191,Asian,RACEASN,51
43066,2016,WA,Washington,BRFSS,Obesity / Weight Status,8.1,409,Asian,RACEASN,53
42298,2016,WV,West Virginia,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,54
40667,2016,WI,Wisconsin,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,55
42248,2016,WY,Wyoming,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,56
40647,2016,GU,Guam,BRFSS,Obesity / Weight Status,9.5,474,Asian,RACEASN,66
41108,2016,PR,Puerto Rico,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,72
41658,2016,VI,Virgin Islands,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,78
