"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"41075","2016","US","National","BRFSS","Obesity / Weight Status","31","120,735","Some college or technical school","EDUCOTEC","0"
"43423","2016","AL","Alabama","BRFSS","Obesity / Weight Status","36.3","1,894","Some college or technical school","EDUCOTEC","1"
"42417","2016","AK","Alaska","BRFSS","Obesity / Weight Status","39.9","839","Some college or technical school","EDUCOTEC","2"
"43516","2016","AZ","Arizona","BRFSS","Obesity / Weight Status","30.2","3,072","Some college or technical school","EDUCOTEC","4"
"42389","2016","AR","Arkansas","BRFSS","Obesity / Weight Status","37.8","1,245","Some college or technical school","EDUCOTEC","5"
"43532","2016","CA","California","BRFSS","Obesity / Weight Status","26.7","2,599","Some college or technical school","EDUCOTEC","6"
"42423","2016","CO","Colorado","BRFSS","Obesity / Weight Status","23.9","3,742","Some college or technical school","EDUCOTEC","8"
"42680","2016","CT","Connecticut","BRFSS","Obesity / Weight Status","27.4","2,274","Some college or technical school","EDUCOTEC","9"
"40695","2016","DE","Delaware","BRFSS","Obesity / Weight Status","28.9","920","Some college or technical school","EDUCOTEC","10"
"43031","2016","DC","District of Columbia","BRFSS","Obesity / Weight Status","31.5","640","Some college or technical school","EDUCOTEC","11"
"42164","2016","FL","Florida","BRFSS","Obesity / Weight Status","27.8","9,688","Some college or technical school","EDUCOTEC","12"
"41685","2016","GA","Georgia","BRFSS","Obesity / Weight Status","34.1","1,264","Some college or technical school","EDUCOTEC","13"
"40039","2016","HI","Hawaii","BRFSS","Obesity / Weight Status","24.9","2,123","Some college or technical school","EDUCOTEC","15"
"42452","2016","ID","Idaho","BRFSS","Obesity / Weight Status","28.1","1,534","Some college or technical school","EDUCOTEC","16"
"43193","2016","IL","Illinois","BRFSS","Obesity / Weight Status","32.4","1,308","Some college or technical school","EDUCOTEC","17"
"39757","2016","IN","Indiana","BRFSS","Obesity / Weight Status","34.1","2,579","Some college or technical school","EDUCOTEC","18"
"40530","2016","IA","Iowa","BRFSS","Obesity / Weight Status","33.2","1,934","Some college or technical school","EDUCOTEC","19"
"42101","2016","KS","Kansas","BRFSS","Obesity / Weight Status","33.6","3,236","Some college or technical school","EDUCOTEC","20"
"39769","2016","KY","Kentucky","BRFSS","Obesity / Weight Status","34.3","2,718","Some college or technical school","EDUCOTEC","21"
"42072","2016","LA","Louisiana","BRFSS","Obesity / Weight Status","36","1,265","Some college or technical school","EDUCOTEC","22"
"40534","2016","ME","Maine","BRFSS","Obesity / Weight Status","31.8","2,557","Some college or technical school","EDUCOTEC","23"
"41900","2016","MD","Maryland","BRFSS","Obesity / Weight Status","32.8","3,797","Some college or technical school","EDUCOTEC","24"
"41578","2016","MA","Massachusetts","BRFSS","Obesity / Weight Status","23.7","1,705","Some college or technical school","EDUCOTEC","25"
"40104","2016","MI","Michigan","BRFSS","Obesity / Weight Status","33.2","3,445","Some college or technical school","EDUCOTEC","26"
"42840","2016","MN","Minnesota","BRFSS","Obesity / Weight Status","29.5","4,742","Some college or technical school","EDUCOTEC","27"
"43737","2016","MS","Mississippi","BRFSS","Obesity / Weight Status","40.8","1,250","Some college or technical school","EDUCOTEC","28"
"44106","2016","MO","Missouri","BRFSS","Obesity / Weight Status","33.9","1,837","Some college or technical school","EDUCOTEC","29"
"44091","2016","MT","Montana","BRFSS","Obesity / Weight Status","26.6","1,656","Some college or technical school","EDUCOTEC","30"
"39538","2016","NE","Nebraska","BRFSS","Obesity / Weight Status","32.1","4,328","Some college or technical school","EDUCOTEC","31"
"40823","2016","NV","Nevada","BRFSS","Obesity / Weight Status","25.5","1,205","Some college or technical school","EDUCOTEC","32"
"42697","2016","NH","New Hampshire","BRFSS","Obesity / Weight Status","26.7","1,533","Some college or technical school","EDUCOTEC","33"
"42332","2016","NJ","New Jersey","BRFSS","Obesity / Weight Status","28.5","1,614","Some college or technical school","EDUCOTEC","34"
"43788","2016","NM","New Mexico","BRFSS","Obesity / Weight Status","31","1,556","Some college or technical school","EDUCOTEC","35"
"43840","2016","NY","New York","BRFSS","Obesity / Weight Status","26.1","8,065","Some college or technical school","EDUCOTEC","36"
"41905","2016","NC","North Carolina","BRFSS","Obesity / Weight Status","32.1","1,737","Some college or technical school","EDUCOTEC","37"
"43319","2016","ND","North Dakota","BRFSS","Obesity / Weight Status","34","1,753","Some college or technical school","EDUCOTEC","38"
"41181","2016","OH","Ohio","BRFSS","Obesity / Weight Status","32","3,072","Some college or technical school","EDUCOTEC","39"
"41094","2016","OK","Oklahoma","BRFSS","Obesity / Weight Status","34.6","2,055","Some college or technical school","EDUCOTEC","40"
"41361","2016","OR","Oregon","BRFSS","Obesity / Weight Status","30.8","1,544","Some college or technical school","EDUCOTEC","41"
"40274","2016","PA","Pennsylvania","BRFSS","Obesity / Weight Status","30.5","1,496","Some college or technical school","EDUCOTEC","42"
"42919","2016","RI","Rhode Island","BRFSS","Obesity / Weight Status","24.4","1,218","Some college or technical school","EDUCOTEC","44"
"42842","2016","SC","South Carolina","BRFSS","Obesity / Weight Status","34.1","2,845","Some college or technical school","EDUCOTEC","45"
"42998","2016","SD","South Dakota","BRFSS","Obesity / Weight Status","29.5","1,704","Some college or technical school","EDUCOTEC","46"
"42348","2016","TN","Tennessee","BRFSS","Obesity / Weight Status","37.5","1,473","Some college or technical school","EDUCOTEC","47"
"39748","2016","TX","Texas","BRFSS","Obesity / Weight Status","35.4","2,768","Some college or technical school","EDUCOTEC","48"
"40153","2016","UT","Utah","BRFSS","Obesity / Weight Status","25.1","3,343","Some college or technical school","EDUCOTEC","49"
"42223","2016","VT","Vermont","BRFSS","Obesity / Weight Status","28.3","1,423","Some college or technical school","EDUCOTEC","50"
"40409","2016","VA","Virginia","BRFSS","Obesity / Weight Status","31.9","2,062","Some college or technical school","EDUCOTEC","51"
"43934","2016","WA","Washington","BRFSS","Obesity / Weight Status","32.6","3,803","Some college or technical school","EDUCOTEC","53"
"42140","2016","WV","West Virginia","BRFSS","Obesity / Weight Status","38.8","1,600","Some college or technical school","EDUCOTEC","54"
"43380","2016","WI","Wisconsin","BRFSS","Obesity / Weight Status","34.3","1,315","Some college or technical school","EDUCOTEC","55"
"42405","2016","WY","Wyoming","BRFSS","Obesity / Weight Status","31.8","1,360","Some college or technical school","EDUCOTEC","56"
"41057","2016","GU","Guam","BRFSS","Obesity / Weight Status","23.7","353","Some college or technical school","EDUCOTEC","66"
"43378","2016","PR","Puerto Rico","BRFSS","Obesity / Weight Status","29.5","1,420","Some college or technical school","EDUCOTEC","72"
"43623","2016","VI","Virgin Islands","BRFSS","Obesity / Weight Status","40","218","Some college or technical school","EDUCOTEC","78"
