ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
25704,2014,OK,Oklahoma,BRFSS,Obesity / Weight Status,34.6,2,255,Some college or technical school,EDUCOTEC,40
25447,2014,OR,Oregon,BRFSS,Obesity / Weight Status,31.7,1,543,Some college or technical school,EDUCOTEC,41
30055,2014,PA,Pennsylvania,BRFSS,Obesity / Weight Status,30.9,2,440,Some college or technical school,EDUCOTEC,42
27028,2014,RI,Rhode Island,BRFSS,Obesity / Weight Status,27.3,1,422,Some college or technical school,EDUCOTEC,44
18708,2014,SC,South Carolina,BRFSS,Obesity / Weight Status,33.1,2,777,Some college or technical school,EDUCOTEC,45
18682,2014,SD,South Dakota,BRFSS,Obesity / Weight Status,31.4,2,106,Some college or technical school,EDUCOTEC,46
18082,2014,TN,Tennessee,BRFSS,Obesity / Weight Status,30.9,1,167,Some college or technical school,EDUCOTEC,47
32678,2014,TX,Texas,BRFSS,Obesity / Weight Status,32.6,3,611,Some college or technical school,EDUCOTEC,48
4706,2014,UT,Utah,BRFSS,Obesity / Weight Status,27,4,455,Some college or technical school,EDUCOTEC,49
34879,2014,VT,Vermont,BRFSS,Obesity / Weight Status,25.5,1,370,Some college or technical school,EDUCOTEC,50
20061,2014,VA,Virginia,BRFSS,Obesity / Weight Status,30.9,2,263,Some college or technical school,EDUCOTEC,51
38403,2014,WA,Washington,BRFSS,Obesity / Weight Status,28.1,2,834,Some college or technical school,EDUCOTEC,53
4197,2014,WV,West Virginia,BRFSS,Obesity / Weight Status,35.3,1,447,Some college or technical school,EDUCOTEC,54
8839,2014,WI,Wisconsin,BRFSS,Obesity / Weight Status,33.4,1,955,Some college or technical school,EDUCOTEC,55
4143,2014,WY,Wyoming,BRFSS,Obesity / Weight Status,31,1,820,Some college or technical school,EDUCOTEC,56
205,2014,GU,Guam,BRFSS,Obesity / Weight Status,27.3,565,Some college or technical school,EDUCOTEC,66
894,2014,PR,Puerto Rico,BRFSS,Obesity / Weight Status,28.6,1,434,Some college or technical school,EDUCOTEC,72
