ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
475,2014,US,National,BRFSS,Obesity / Weight Status,9.4,7,813,Asian,RACEASN,0
44516,2014,AL,Alabama,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,1
23003,2014,AK,Alaska,BRFSS,Obesity / Weight Status,17.8,73,Asian,RACEASN,2
24392,2014,AZ,Arizona,BRFSS,Obesity / Weight Status,6.6,198,Asian,RACEASN,4
47050,2014,AR,Arkansas,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,5
15127,2014,CA,California,BRFSS,Obesity / Weight Status,8.9,525,Asian,RACEASN,6
14462,2014,CO,Colorado,BRFSS,Obesity / Weight Status,8.7,172,Asian,RACEASN,8
12807,2014,CT,Connecticut,BRFSS,Obesity / Weight Status,13.1,144,Asian,RACEASN,9
32212,2014,DE,Delaware,BRFSS,Obesity / Weight Status,10.7,55,Asian,RACEASN,10
26197,2014,DC,District of Columbia,BRFSS,Obesity / Weight Status,5.9,70,Asian,RACEASN,11
17361,2014,FL,Florida,BRFSS,Obesity / Weight Status,12.8,148,Asian,RACEASN,12
7956,2014,GA,Georgia,BRFSS,Obesity / Weight Status,4.3,61,Asian,RACEASN,13
6756,2014,HI,Hawaii,BRFSS,Obesity / Weight Status,15.2,2,048,Asian,RACEASN,15
49493,2014,ID,Idaho,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,16
7448,2014,IL,Illinois,BRFSS,Obesity / Weight Status,3.2,147,Asian,RACEASN,17
26440,2014,IN,Indiana,BRFSS,Obesity / Weight Status,10.4,108,Asian,RACEASN,18
9783,2014,IA,Iowa,BRFSS,Obesity / Weight Status,6.2,52,Asian,RACEASN,19
20708,2014,KS,Kansas,BRFSS,Obesity / Weight Status,11.1,135,Asian,RACEASN,20
45865,2014,KY,Kentucky,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,21
48039,2014,LA,Louisiana,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,22
52233,2014,ME,Maine,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,23
9849,2014,MD,Maryland,BRFSS,Obesity / Weight Status,10.6,249,Asian,RACEASN,24
22673,2014,MA,Massachusetts,BRFSS,Obesity / Weight Status,4.7,316,Asian,RACEASN,25
24411,2014,MI,Michigan,BRFSS,Obesity / Weight Status,16.7,123,Asian,RACEASN,26
24546,2014,MN,Minnesota,BRFSS,Obesity / Weight Status,12.6,244,Asian,RACEASN,27
57341,2014,MS,Mississippi,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,28
28528,2014,MO,Missouri,BRFSS,Obesity / Weight Status,9.5,55,Asian,RACEASN,29
58497,2014,MT,Montana,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,30
2073,2014,NE,Nebraska,BRFSS,Obesity / Weight Status,18.4,105,Asian,RACEASN,31
15295,2014,NV,Nevada,BRFSS,Obesity / Weight Status,15,81,Asian,RACEASN,32
13427,2014,NH,New Hampshire,BRFSS,Obesity / Weight Status,7.5,53,Asian,RACEASN,33
32695,2014,NJ,New Jersey,BRFSS,Obesity / Weight Status,8.4,425,Asian,RACEASN,34
38483,2014,NM,New Mexico,BRFSS,Obesity / Weight Status,3.6,53,Asian,RACEASN,35
29640,2014,NY,New York,BRFSS,Obesity / Weight Status,11.8,263,Asian,RACEASN,36
23884,2014,NC,North Carolina,BRFSS,Obesity / Weight Status,16.9,91,Asian,RACEASN,37
52868,2014,ND,North Dakota,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,38
1811,2014,OH,Ohio,BRFSS,Obesity / Weight Status,7.8,99,Asian,RACEASN,39
10030,2014,OK,Oklahoma,BRFSS,Obesity / Weight Status,7.6,82,Asian,RACEASN,40
16989,2014,OR,Oregon,BRFSS,Obesity / Weight Status,8.5,69,Asian,RACEASN,41
29167,2014,PA,Pennsylvania,BRFSS,Obesity / Weight Status,9,127,Asian,RACEASN,42
1344,2014,RI,Rhode Island,BRFSS,Obesity / Weight Status,13.3,62,Asian,RACEASN,44
8638,2014,SC,South Carolina,BRFSS,Obesity / Weight Status,12.2,60,Asian,RACEASN,45
47763,2014,SD,South Dakota,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,46
44139,2014,TN,Tennessee,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,47
6539,2014,TX,Texas,BRFSS,Obesity / Weight Status,7.8,275,Asian,RACEASN,48
28946,2014,UT,Utah,BRFSS,Obesity / Weight Status,8,147,Asian,RACEASN,49
57760,2014,VT,Vermont,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,50
13586,2014,VA,Virginia,BRFSS,Obesity / Weight Status,8.8,171,Asian,RACEASN,51
24876,2014,WA,Washington,BRFSS,Obesity / Weight Status,7,292,Asian,RACEASN,53
48713,2014,WV,West Virginia,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,54
11747,2014,WI,Wisconsin,BRFSS,Obesity / Weight Status,8.9,55,Asian,RACEASN,55
47243,2014,WY,Wyoming,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,56
1191,2014,GU,Guam,BRFSS,Obesity / Weight Status,10.5,713,Asian,RACEASN,66
50370,2014,PR,Puerto Rico,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,72
