"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"1135","2013","US","National","BRFSS","Obesity / Weight Status","9.6","8,394","Asian","RACEASN","0"
"30007","2013","AL","Alabama","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","1"
"17745","2013","AK","Alaska","BRFSS","Obesity / Weight Status","30.3","92","Asian","RACEASN","2"
"9012","2013","AZ","Arizona","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","4"
"1793","2013","AR","Arkansas","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","5"
"11312","2013","CA","California","BRFSS","Obesity / Weight Status","9.3","733","Asian","RACEASN","6"
"13347","2013","CO","Colorado","BRFSS","Obesity / Weight Status","9.8","132","Asian","RACEASN","8"
"4938","2013","CT","Connecticut","BRFSS","Obesity / Weight Status","9.2","143","Asian","RACEASN","9"
"36714","2013","DE","Delaware","BRFSS","Obesity / Weight Status","8.2","76","Asian","RACEASN","10"
"8673","2013","DC","District of Columbia","BRFSS","Obesity / Weight Status","5","86","Asian","RACEASN","11"
"27311","2013","FL","Florida","BRFSS","Obesity / Weight Status","14.1","271","Asian","RACEASN","12"
"14636","2013","GA","Georgia","BRFSS","Obesity / Weight Status","12","90","Asian","RACEASN","13"
"36586","2013","HI","Hawaii","BRFSS","Obesity / Weight Status","11.9","2,329","Asian","RACEASN","15"
"38846","2013","ID","Idaho","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","16"
"2151","2013","IL","Illinois","BRFSS","Obesity / Weight Status","7.9","135","Asian","RACEASN","17"
"22565","2013","IN","Indiana","BRFSS","Obesity / Weight Status","7","70","Asian","RACEASN","18"
"3885","2013","IA","Iowa","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","19"
"19619","2013","KS","Kansas","BRFSS","Obesity / Weight Status","9.1","225","Asian","RACEASN","20"
"35212","2013","KY","Kentucky","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","21"
"37299","2013","LA","Louisiana","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","22"
"10305","2013","ME","Maine","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","23"
"39329","2013","MD","Maryland","BRFSS","Obesity / Weight Status","10.7","261","Asian","RACEASN","24"
"28595","2013","MA","Massachusetts","BRFSS","Obesity / Weight Status","10.2","346","Asian","RACEASN","25"
"26995","2013","MI","Michigan","BRFSS","Obesity / Weight Status","5.9","123","Asian","RACEASN","26"
"38749","2013","MN","Minnesota","BRFSS","Obesity / Weight Status","15.6","210","Asian","RACEASN","27"
"5466","2013","MS","Mississippi","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","28"
"36371","2013","MO","Missouri","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","29"
"14298","2013","MT","Montana","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","30"
"19930","2013","NE","Nebraska","BRFSS","Obesity / Weight Status","12.9","93","Asian","RACEASN","31"
"31397","2013","NV","Nevada","BRFSS","Obesity / Weight Status","8.5","132","Asian","RACEASN","32"
"11554","2013","NH","New Hampshire","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","33"
"37398","2013","NJ","New Jersey","BRFSS","Obesity / Weight Status","10.4","468","Asian","RACEASN","34"
"11613","2013","NM","New Mexico","BRFSS","Obesity / Weight Status","9.7","63","Asian","RACEASN","35"
"20042","2013","NY","New York","BRFSS","Obesity / Weight Status","8.4","333","Asian","RACEASN","36"
"38762","2013","NC","North Carolina","BRFSS","Obesity / Weight Status","8.1","92","Asian","RACEASN","37"
"37938","2013","ND","North Dakota","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","38"
"3387","2013","OH","Ohio","BRFSS","Obesity / Weight Status","6.6","83","Asian","RACEASN","39"
"6120","2013","OK","Oklahoma","BRFSS","Obesity / Weight Status","18.3","75","Asian","RACEASN","40"
"14663","2013","OR","Oregon","BRFSS","Obesity / Weight Status","5.6","68","Asian","RACEASN","41"
"2084","2013","PA","Pennsylvania","BRFSS","Obesity / Weight Status","4","128","Asian","RACEASN","42"
"23601","2013","RI","Rhode Island","BRFSS","Obesity / Weight Status","11.9","77","Asian","RACEASN","44"
"14083","2013","SC","South Carolina","BRFSS","Obesity / Weight Status","8.1","59","Asian","RACEASN","45"
"21459","2013","SD","South Dakota","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","46"
"35951","2013","TN","Tennessee","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","47"
"25507","2013","TX","Texas","BRFSS","Obesity / Weight Status","9.5","227","Asian","RACEASN","48"
"31786","2013","UT","Utah","BRFSS","Obesity / Weight Status","8","115","Asian","RACEASN","49"
"19016","2013","VT","Vermont","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","50"
"3206","2013","VA","Virginia","BRFSS","Obesity / Weight Status","10.2","146","Asian","RACEASN","51"
"29574","2013","WA","Washington","BRFSS","Obesity / Weight Status","7.6","328","Asian","RACEASN","53"
"18769","2013","WV","West Virginia","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","54"
"39850","2013","WI","Wisconsin","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","55"
"28420","2013","WY","Wyoming","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","56"
"1120","2013","PR","Puerto Rico","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","72"
