ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
1047,2015,US,National,BRFSS,Obesity / Weight Status,30.2,109,147,Some college or technical school,EDUCOTEC,0
8253,2015,AL,Alabama,BRFSS,Obesity / Weight Status,36.5,2,078,Some college or technical school,EDUCOTEC,1
30762,2015,AK,Alaska,BRFSS,Obesity / Weight Status,33,983,Some college or technical school,EDUCOTEC,2
38188,2015,AZ,Arizona,BRFSS,Obesity / Weight Status,30.3,2,181,Some college or technical school,EDUCOTEC,4
4213,2015,AR,Arkansas,BRFSS,Obesity / Weight Status,36.9,1,276,Some college or technical school,EDUCOTEC,5
17724,2015,CA,California,BRFSS,Obesity / Weight Status,25.3,3,031,Some college or technical school,EDUCOTEC,6
28027,2015,CO,Colorado,BRFSS,Obesity / Weight Status,21.8,3,388,Some college or technical school,EDUCOTEC,8
7730,2015,CT,Connecticut,BRFSS,Obesity / Weight Status,26,2,500,Some college or technical school,EDUCOTEC,9
6761,2015,DE,Delaware,BRFSS,Obesity / Weight Status,29.2,934,Some college or technical school,EDUCOTEC,10
3961,2015,DC,District of Columbia,BRFSS,Obesity / Weight Status,28.8,530,Some college or technical school,EDUCOTEC,11
25594,2015,FL,Florida,BRFSS,Obesity / Weight Status,28.3,2,643,Some college or technical school,EDUCOTEC,12
21715,2015,GA,Georgia,BRFSS,Obesity / Weight Status,33,1,109,Some college or technical school,EDUCOTEC,13
16033,2015,HI,Hawaii,BRFSS,Obesity / Weight Status,22.7,1,937,Some college or technical school,EDUCOTEC,15
34075,2015,ID,Idaho,BRFSS,Obesity / Weight Status,30.1,1,720,Some college or technical school,EDUCOTEC,16
34610,2015,IL,Illinois,BRFSS,Obesity / Weight Status,33.4,1,346,Some college or technical school,EDUCOTEC,17
31402,2015,IN,Indiana,BRFSS,Obesity / Weight Status,32.3,1,415,Some college or technical school,EDUCOTEC,18
28432,2015,IA,Iowa,BRFSS,Obesity / Weight Status,33.5,1,650,Some college or technical school,EDUCOTEC,19
20574,2015,KS,Kansas,BRFSS,Obesity / Weight Status,34.5,5,990,Some college or technical school,EDUCOTEC,20
9078,2015,KY,Kentucky,BRFSS,Obesity / Weight Status,35,2,238,Some college or technical school,EDUCOTEC,21
25672,2015,LA,Louisiana,BRFSS,Obesity / Weight Status,35.2,1,132,Some college or technical school,EDUCOTEC,22
28145,2015,ME,Maine,BRFSS,Obesity / Weight Status,31.7,2,286,Some college or technical school,EDUCOTEC,23
29667,2015,MD,Maryland,BRFSS,Obesity / Weight Status,29.9,2,625,Some college or technical school,EDUCOTEC,24
10063,2015,MA,Massachusetts,BRFSS,Obesity / Weight Status,26.5,1,924,Some college or technical school,EDUCOTEC,25
34410,2015,MI,Michigan,BRFSS,Obesity / Weight Status,32.1,2,482,Some college or technical school,EDUCOTEC,26
20141,2015,MN,Minnesota,BRFSS,Obesity / Weight Status,27,4,839,Some college or technical school,EDUCOTEC,27
28727,2015,MS,Mississippi,BRFSS,Obesity / Weight Status,37.2,1,532,Some college or technical school,EDUCOTEC,28
14903,2015,MO,Missouri,BRFSS,Obesity / Weight Status,32.6,1,818,Some college or technical school,EDUCOTEC,29
21051,2015,MT,Montana,BRFSS,Obesity / Weight Status,25.8,1,610,Some college or technical school,EDUCOTEC,30
23001,2015,NE,Nebraska,BRFSS,Obesity / Weight Status,34.3,4,917,Some college or technical school,EDUCOTEC,31
37009,2015,NV,Nevada,BRFSS,Obesity / Weight Status,23.5,854,Some college or technical school,EDUCOTEC,32
6199,2015,NH,New Hampshire,BRFSS,Obesity / Weight Status,26.9,1,551,Some college or technical school,EDUCOTEC,33
20383,2015,NJ,New Jersey,BRFSS,Obesity / Weight Status,25.1,2,508,Some college or technical school,EDUCOTEC,34
