ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
18261,2015,NM,New Mexico,BRFSS,Obesity / Weight Status,29.8,1,736,Some college or technical school,EDUCOTEC,35
8619,2015,NY,New York,BRFSS,Obesity / Weight Status,26.5,2,648,Some college or technical school,EDUCOTEC,36
23189,2015,NC,North Carolina,BRFSS,Obesity / Weight Status,30.7,1,688,Some college or technical school,EDUCOTEC,37
26851,2015,ND,North Dakota,BRFSS,Obesity / Weight Status,31.7,1,487,Some college or technical school,EDUCOTEC,38
21578,2015,OH,Ohio,BRFSS,Obesity / Weight Status,32.8,2,827,Some college or technical school,EDUCOTEC,39
26027,2015,OK,Oklahoma,BRFSS,Obesity / Weight Status,36.3,1,981,Some college or technical school,EDUCOTEC,40
4277,2015,OR,Oregon,BRFSS,Obesity / Weight Status,35.7,1,481,Some college or technical school,EDUCOTEC,41
2887,2015,PA,Pennsylvania,BRFSS,Obesity / Weight Status,31.8,1,283,Some college or technical school,EDUCOTEC,42
24711,2015,RI,Rhode Island,BRFSS,Obesity / Weight Status,24.9,1,387,Some college or technical school,EDUCOTEC,44
18075,2015,SC,South Carolina,BRFSS,Obesity / Weight Status,31,3,010,Some college or technical school,EDUCOTEC,45
29942,2015,SD,South Dakota,BRFSS,Obesity / Weight Status,32.8,2,063,Some college or technical school,EDUCOTEC,46
10994,2015,TN,Tennessee,BRFSS,Obesity / Weight Status,35.5,1,372,Some college or technical school,EDUCOTEC,47
13790,2015,TX,Texas,BRFSS,Obesity / Weight Status,32.5,3,332,Some college or technical school,EDUCOTEC,48
24818,2015,UT,Utah,BRFSS,Obesity / Weight Status,25.8,3,303,Some college or technical school,EDUCOTEC,49
11291,2015,VT,Vermont,BRFSS,Obesity / Weight Status,25.6,1,404,Some college or technical school,EDUCOTEC,50
3281,2015,VA,Virginia,BRFSS,Obesity / Weight Status,30.3,2,082,Some college or technical school,EDUCOTEC,51
34487,2015,WA,Washington,BRFSS,Obesity / Weight Status,29.4,4,446,Some college or technical school,EDUCOTEC,53
37595,2015,WV,West Virginia,BRFSS,Obesity / Weight Status,33.6,1,348,Some college or technical school,EDUCOTEC,54
7318,2015,WI,Wisconsin,BRFSS,Obesity / Weight Status,34.4,1,661,Some college or technical school,EDUCOTEC,55
4975,2015,WY,Wyoming,BRFSS,Obesity / Weight Status,33.3,1,581,Some college or technical school,EDUCOTEC,56
579,2015,GU,Guam,BRFSS,Obesity / Weight Status,28.8,383,Some college or technical school,EDUCOTEC,66
220,2015,PR,Puerto Rico,BRFSS,Obesity / Weight Status,29.5,1,298,Some college or technical school,EDUCOTEC,72
